episode,step,r,c,k,e,action,reward,nr,nc,nk,ne,done,q_before,max_next_q,td_target,td_error,q_after,alpha,gamma,epsilon
75000,10,2,2,0,40,UP,-4.9,2,2,0,39,0,13.631302,17.736787,12.659419,-0.971883,13.436925,0.2,0.99,0.4062
75000,11,2,2,0,39,RIGHT,0.09,2,3,0,38,0,17.736787,18.090416,17.999512,0.262725,17.789332,0.2,0.99,0.4062
75000,12,2,3,0,38,UP,-4.91,2,3,0,37,0,18.090416,19.304697,14.20165,-3.888766,17.312663,0.2,0.99,0.4062
75000,13,2,3,0,37,UP,-1.9,2,2,0,36,0,19.304697,20.926135,18.816874,-0.487823,19.207132,0.2,0.99,0.4062
75000,14,2,2,0,36,RIGHT,-1.89,3,2,0,35,0,20.926135,20.231869,18.13955,-2.786585,20.368818,0.2,0.99,0.4062
75000,15,3,2,0,35,UP,0.1,3,3,0,34,0,19.733076,20.962225,20.852603,1.119527,19.956981,0.2,0.99,0.4062
75000,16,3,3,0,34,UP,0.09,2,3,0,33,0,20.962225,22.364564,22.230918,1.268693,21.215964,0.2,0.99,0.4062
75000,17,2,3,0,33,UP,0.08,1,3,0,32,0,22.364564,22.764151,22.616509,0.251945,22.414953,0.2,0.99,0.4062
75000,18,1,3,0,32,RIGHT,0.07,1,4,0,31,0,22.764151,24.955647,24.776091,2.01194,23.166539,0.2,0.99,0.4062
75000,19,1,4,0,31,RIGHT,0.06,1,5,0,30,0,24.955647,26.037884,25.837505,0.881858,25.132019,0.2,0.99,0.4062
75000,20,1,5,0,30,RIGHT,0.05,0,5,0,29,0,26.037884,26.257848,26.04527,0.007386,26.039361,0.2,0.99,0.4062
75000,21,0,5,0,29,RIGHT,-4.95,0,5,0,28,0,26.257848,24.155962,18.964402,-7.293446,24.799159,0.2,0.99,0.4062
75000,22,0,5,0,28,RIGHT,0.04,0,6,0,27,0,24.155962,26.003119,25.783088,1.627126,24.481387,0.2,0.99,0.4062
75000,23,0,6,0,27,RIGHT,0.03,0,7,0,26,0,26.003119,27.622015,27.375795,1.372676,26.277654,0.2,0.99,0.4062
75000,24,0,7,0,26,DOWN,-1.96,1,7,0,25,0,25.799689,26.84865,24.620164,-1.179526,25.563784,0.2,0.99,0.4062
75000,25,1,7,0,25,RIGHT,0.03,1,8,0,24,0,26.84865,27.543851,27.298413,0.449763,26.938603,0.2,0.99,0.4062
75000,26,1,8,0,24,RIGHT,0.02,1,9,0,23,0,27.543851,27.578488,27.322703,-0.221148,27.499622,0.2,0.99,0.4062
75000,27,1,9,0,23,RIGHT,0.01,1,10,0,22,0,27.223008,26.070651,25.819945,-1.403063,26.942395,0.2,0.99,0.4062
75000,28,1,10,0,22,LEFT,-1.98,1,9,0,21,0,20.360804,27.17967,24.927874,4.56707,21.274218,0.2,0.99,0.4062
75000,29,1,9,0,21,UP,0.01,0,9,0,20,0,27.17967,28.929616,28.650319,1.470649,27.4738,0.2,0.99,0.4062
75000,30,0,9,0,20,RIGHT,32.18,0,10,1,19,0,28.929616,-2.736483,29.470882,0.541266,29.037869,0.2,0.99,0.4062
75000,31,0,10,1,19,DOWN,0.17,1,10,1,18,0,-2.736483,-2.738059,-2.540679,0.195804,-2.697322,0.2,0.99,0.4062
75000,32,1,10,1,18,DOWN,0.16,2,10,1,17,0,-2.738059,-3.416729,-3.222562,-0.484503,-2.83496,0.2,0.99,0.4062
75000,33,2,10,1,17,DOWN,0.15,3,10,1,16,0,-3.416729,-2.643597,-2.467161,0.949568,-3.226816,0.2,0.99,0.4062
75000,34,3,10,1,16,DOWN,-4.85,3,10,1,15,0,-2.643597,-2.077882,-6.907103,-4.263506,-3.496299,0.2,0.99,0.4062
75000,35,3,10,1,15,RIGHT,-4.85,3,10,1,14,0,-7.276003,-4.093775,-8.902837,-1.626834,-7.60137,0.2,0.99,0.4062
75000,36,3,10,1,14,DOWN,0.14,4,10,1,13,0,-4.093775,-2.047059,-1.886588,2.207186,-3.652337,0.2,0.99,0.4062
75000,37,4,10,1,13,LEFT,-4.86,4,10,1,12,0,-6.174204,-3.182289,-8.010466,-1.836262,-6.541456,0.2,0.99,0.4062
75000,38,4,10,1,12,DOWN,0.13,5,10,1,11,0,-3.182289,-2.613186,-2.457054,0.725235,-3.037242,0.2,0.99,0.4062
75000,39,5,10,1,11,UP,-1.86,4,10,1,10,0,-4.783385,-5.394334,-7.20039,-2.417005,-5.266786,0.2,0.99,0.4062
75000,40,4,10,1,10,DOWN,0.13,5,10,1,9,0,-5.394334,-5.136032,-4.954671,0.439662,-5.306401,0.2,0.99,0.4062
75000,41,5,10,1,9,LEFT,-1.86,5,9,1,8,0,-5.136032,-2.33627,-4.172907,0.963125,-4.943407,0.2,0.99,0.4062
75000,42,5,9,1,8,LEFT,-1.85,5,8,1,7,0,-2.33627,-0.492921,-2.337992,-0.001722,-2.336614,0.2,0.99,0.4062
75000,43,5,8,1,7,DOWN,0.14,6,8,1,6,0,-0.492921,-0.895107,-0.746156,-0.253235,-0.543568,0.2,0.99,0.4062
75000,44,6,8,1,6,DOWN,0.13,7,8,1,5,0,-0.895107,-1.139734,-0.998337,-0.10323,-0.915753,0.2,0.99,0.4062
75000,45,7,8,1,5,DOWN,-1.86,7,7,1,4,0,-1.139734,0.026,-1.83426,-0.694526,-1.278639,0.2,0.99,0.4062
75000,46,7,7,1,4,DOWN,0.13,8,7,1,3,0,0.026,-0.366852,-0.233183,-0.259183,-0.025837,0.2,0.99,0.4062
75000,47,8,7,1,3,LEFT,-1.86,8,6,1,2,0,-0.366852,0.0,-1.86,-1.493148,-0.665482,0.2,0.99,0.4062
75000,48,8,6,1,2,DOWN,0.13,9,6,1,1,0,0.0,0.0,0.13,0.13,0.026,0.2,0.99,0.4062
75000,49,9,6,1,1,DOWN,-8.0,10,6,1,0,1,-1.6,0.0,-8.0,-6.4,-2.88,0.2,0.99,0.4062
149999,0,0,0,0,50,DOWN,-1.87,1,0,0,49,0,32.01737,34.185523,31.973668,-0.043702,32.00863,0.2,0.99,0.05
149999,1,1,0,0,49,LEFT,-4.87,1,0,0,48,0,29.382264,34.770739,29.553032,0.170767,29.416418,0.2,0.99,0.05
149999,2,1,0,0,48,RIGHT,0.12,1,1,0,47,0,34.770739,34.956989,34.727419,-0.04332,34.762075,0.2,0.99,0.05
149999,3,1,1,0,47,LEFT,-1.87,1,0,0,46,0,34.956989,37.055587,34.815031,-0.141958,34.928597,0.2,0.99,0.05
149999,4,1,0,0,46,RIGHT,0.12,1,1,0,45,0,37.055587,36.879912,36.631113,-0.424474,36.970692,0.2,0.99,0.05
149999,5,1,1,0,45,DOWN,0.11,2,1,0,44,0,36.879912,38.835894,38.557535,1.677623,37.215437,0.2,0.99,0.05
