episode,step,r,c,k,e,action,reward,next_action,q_sa_before,q_next,delta,E_current_pair,num_active_traces,sum_traces,q_sa_after,top3_traces(state|action|E)
0,0,0,0,0,50,LEFT,-5.0,DOWN,0.0,0.0,-5.0,1.0,1,0.891,-1.0,"(0,0,0,50)|LEFT|0.8910"
0,1,0,0,0,49,DOWN,-1.0,UP,0.0,0.0,-1.0,1.0,2,1.6849,-0.2,"(0,0,0,49)|DOWN|0.8910; (0,0,0,50)|LEFT|0.7939"
0,2,1,0,0,48,UP,-1.0,RIGHT,0.0,0.0,-1.0,1.0,3,2.3922,-0.2,"(1,0,0,48)|UP|0.8910; (0,0,0,49)|DOWN|0.7939; (0,0,0,50)|LEFT|0.7073"
0,3,0,0,0,47,RIGHT,-1.0,UP,0.0,0.0,-1.0,1.0,4,3.0225,-0.2,"(0,0,0,47)|RIGHT|0.8910; (1,0,0,48)|UP|0.7939; (0,0,0,49)|DOWN|0.7073"
0,4,0,1,0,46,UP,-5.0,UP,0.0,0.0,-5.0,1.0,5,3.584,-1.0,"(0,1,0,46)|UP|0.8910; (0,0,0,47)|RIGHT|0.7939; (1,0,0,48)|UP|0.7073"
0,5,0,1,0,45,UP,-5.0,DOWN,0.0,0.0,-5.0,1.0,6,4.0844,-1.0,"(0,1,0,45)|UP|0.8910; (0,1,0,46)|UP|0.7939; (0,0,0,47)|RIGHT|0.7073"
0,6,0,1,0,44,DOWN,-1.0,RIGHT,0.0,0.0,-1.0,1.0,7,4.5302,-0.2,"(0,1,0,44)|DOWN|0.8910; (0,1,0,45)|UP|0.7939; (0,1,0,46)|UP|0.7073"
0,7,1,1,0,43,RIGHT,-1.0,RIGHT,0.0,0.0,-1.0,1.0,8,4.9274,-0.2,"(1,1,0,43)|RIGHT|0.8910; (0,1,0,44)|DOWN|0.7939; (0,1,0,45)|UP|0.7073"
0,8,2,1,0,42,RIGHT,-1.0,DOWN,0.0,0.0,-1.0,1.0,9,5.2813,-0.2,"(2,1,0,42)|RIGHT|0.8910; (1,1,0,43)|RIGHT|0.7939; (0,1,0,44)|DOWN|0.7073"
0,9,2,2,0,41,DOWN,-1.0,DOWN,0.0,0.0,-1.0,1.0,10,5.5966,-0.2,"(2,2,0,41)|DOWN|0.8910; (2,1,0,42)|RIGHT|0.7939; (1,1,0,43)|RIGHT|0.7073"
0,10,3,2,0,40,DOWN,-1.0,UP,0.0,0.0,-1.0,1.0,11,5.8776,-0.2,"(3,2,0,40)|DOWN|0.8910; (2,2,0,41)|DOWN|0.7939; (2,1,0,42)|RIGHT|0.7073"
0,11,4,2,0,39,UP,-1.0,RIGHT,0.0,0.0,-1.0,1.0,12,6.1279,-0.2,"(4,2,0,39)|UP|0.8910; (3,2,0,40)|DOWN|0.7939; (2,2,0,41)|DOWN|0.7073"
0,12,3,2,0,38,RIGHT,-1.0,UP,0.0,0.0,-1.0,1.0,13,6.351,-0.2,"(3,2,0,38)|RIGHT|0.8910; (4,2,0,39)|UP|0.7939; (3,2,0,40)|DOWN|0.7073"
0,13,4,2,0,37,UP,-1.0,DOWN,0.0,0.0,-1.0,1.0,14,6.5497,-0.2,"(4,2,0,37)|UP|0.8910; (3,2,0,38)|RIGHT|0.7939; (4,2,0,39)|UP|0.7073"
