episode,step,r,c,k,e,action,reward,next_action,q_sa_before,q_next,delta,E_current_pair,num_active_traces,sum_traces,q_sa_after,top3_traces(state|action|E)
0,0,0,0,0,50,LEFT,-5.0,DOWN,0.0,0.0,-5.0,1.0,1,0.297,-1.0,"(0,0,0,50)|LEFT|0.2970"
0,1,0,0,0,49,DOWN,-1.0,UP,0.0,0.0,-1.0,1.0,2,0.3852,-0.2,"(0,0,0,49)|DOWN|0.2970; (0,0,0,50)|LEFT|0.0882"
0,2,1,0,0,48,UP,-1.0,RIGHT,0.0,0.0,-1.0,1.0,3,0.4114,-0.2,"(1,0,0,48)|UP|0.2970; (0,0,0,49)|DOWN|0.0882; (0,0,0,50)|LEFT|0.0262"
0,3,0,0,0,47,RIGHT,-1.0,UP,0.0,0.0,-1.0,1.0,4,0.4192,-0.2,"(0,0,0,47)|RIGHT|0.2970; (1,0,0,48)|UP|0.0882; (0,0,0,49)|DOWN|0.0262"
0,4,0,1,0,46,UP,-5.0,UP,0.0,0.0,-5.0,1.0,5,0.4215,-1.0,"(0,1,0,46)|UP|0.2970; (0,0,0,47)|RIGHT|0.0882; (1,0,0,48)|UP|0.0262"
0,5,0,1,0,45,UP,-5.0,DOWN,0.0,0.0,-5.0,1.0,6,0.4222,-1.0,"(0,1,0,45)|UP|0.2970; (0,1,0,46)|UP|0.0882; (0,0,0,47)|RIGHT|0.0262"
0,6,0,1,0,44,DOWN,-1.0,RIGHT,0.0,0.0,-1.0,1.0,7,0.4224,-0.2,"(0,1,0,44)|DOWN|0.2970; (0,1,0,45)|UP|0.0882; (0,1,0,46)|UP|0.0262"
0,7,1,1,0,43,RIGHT,-1.0,RIGHT,0.0,0.0,-1.0,1.0,8,0.4224,-0.2,"(1,1,0,43)|RIGHT|0.2970; (0,1,0,44)|DOWN|0.0882; (0,1,0,45)|UP|0.0262"
0,8,2,1,0,42,RIGHT,-1.0,DOWN,0.0,0.0,-1.0,1.0,8,0.4224,-0.2,"(2,1,0,42)|RIGHT|0.2970; (1,1,0,43)|RIGHT|0.0882; (0,1,0,44)|DOWN|0.0262"
0,9,2,2,0,41,DOWN,-1.0,DOWN,0.0,0.0,-1.0,1.0,8,0.4224,-0.2,"(2,2,0,41)|DOWN|0.2970; (2,1,0,42)|RIGHT|0.0882; (1,1,0,43)|RIGHT|0.0262"
0,10,3,2,0,40,DOWN,-1.0,UP,0.0,0.0,-1.0,1.0,8,0.4224,-0.2,"(3,2,0,40)|DOWN|0.2970; (2,2,0,41)|DOWN|0.0882; (2,1,0,42)|RIGHT|0.0262"
