episode,step,r,c,k,e,action,reward,next_action,q_sa_before,q_next,delta,E_current_pair,num_active_traces,sum_traces,q_sa_after,top3_traces(state|action|E)
0,0,0,0,0,50,LEFT,-5.0,DOWN,0.0,0.0,-5.0,1.0,1,0.693,-1.0,"(0,0,0,50)|LEFT|0.6930"
0,1,0,0,0,49,DOWN,-1.0,UP,0.0,0.0,-1.0,1.0,2,1.1732,-0.2,"(0,0,0,49)|DOWN|0.6930; (0,0,0,50)|LEFT|0.4802"
0,2,1,0,0,48,UP,-1.0,RIGHT,0.0,0.0,-1.0,1.0,3,1.5061,-0.2,"(1,0,0,48)|UP|0.6930; (0,0,0,49)|DOWN|0.4802; (0,0,0,50)|LEFT|0.3328"
0,3,0,0,0,47,RIGHT,-1.0,UP,0.0,0.0,-1.0,1.0,4,1.7367,-0.2,"(0,0,0,47)|RIGHT|0.6930; (1,0,0,48)|UP|0.4802; (0,0,0,49)|DOWN|0.3328"
0,4,0,1,0,46,UP,-5.0,UP,0.0,0.0,-5.0,1.0,5,1.8965,-1.0,"(0,1,0,46)|UP|0.6930; (0,0,0,47)|RIGHT|0.4802; (1,0,0,48)|UP|0.3328"
0,5,0,1,0,45,UP,-5.0,DOWN,0.0,0.0,-5.0,1.0,6,2.0073,-1.0,"(0,1,0,45)|UP|0.6930; (0,1,0,46)|UP|0.4802; (0,0,0,47)|RIGHT|0.3328"
0,6,0,1,0,44,DOWN,-1.0,RIGHT,0.0,0.0,-1.0,1.0,7,2.0841,-0.2,"(0,1,0,44)|DOWN|0.6930; (0,1,0,45)|UP|0.4802; (0,1,0,46)|UP|0.3328"
0,7,1,1,0,43,RIGHT,-1.0,RIGHT,0.0,0.0,-1.0,1.0,8,2.1373,-0.2,"(1,1,0,43)|RIGHT|0.6930; (0,1,0,44)|DOWN|0.4802; (0,1,0,45)|UP|0.3328"
0,8,2,1,0,42,RIGHT,-1.0,DOWN,0.0,0.0,-1.0,1.0,9,2.1741,-0.2,"(2,1,0,42)|RIGHT|0.6930; (1,1,0,43)|RIGHT|0.4802; (0,1,0,44)|DOWN|0.3328"
0,9,2,2,0,41,DOWN,-1.0,DOWN,0.0,0.0,-1.0,1.0,10,2.1997,-0.2,"(2,2,0,41)|DOWN|0.6930; (2,1,0,42)|RIGHT|0.4802; (1,1,0,43)|RIGHT|0.3328"
0,10,3,2,0,40,DOWN,-1.0,UP,0.0,0.0,-1.0,1.0,11,2.2174,-0.2,"(3,2,0,40)|DOWN|0.6930; (2,2,0,41)|DOWN|0.4802; (2,1,0,42)|RIGHT|0.3328"
