episode,step,r,c,k,e,action,reward,next_action,q_sa_before,q_next,delta,E_current_pair,num_active_traces,sum_traces,q_sa_after,top3_traces(state|action|E)
0,0,0,0,0,50,LEFT,-5.0,DOWN,0.0,0.0,-5.0,1.0,1,0,-1.0,
0,1,0,0,0,49,DOWN,-1.0,UP,0.0,0.0,-1.0,1.0,1,0,-0.2,
0,2,1,0,0,48,UP,-1.0,RIGHT,0.0,0.0,-1.0,1.0,1,0,-0.2,
0,3,0,0,0,47,RIGHT,-1.0,UP,0.0,0.0,-1.0,1.0,1,0,-0.2,
0,4,0,1,0,46,UP,-5.0,UP,0.0,0.0,-5.0,1.0,1,0,-1.0,
0,5,0,1,0,45,UP,-5.0,DOWN,0.0,0.0,-5.0,1.0,1,0,-1.0,
0,6,0,1,0,44,DOWN,-1.0,RIGHT,0.0,0.0,-1.0,1.0,1,0,-0.2,
0,7,1,1,0,43,RIGHT,-1.0,RIGHT,0.0,0.0,-1.0,1.0,1,0,-0.2,
0,8,2,1,0,42,RIGHT,-1.0,DOWN,0.0,0.0,-1.0,1.0,1,0,-0.2,
0,9,2,2,0,41,DOWN,-1.0,DOWN,0.0,0.0,-1.0,1.0,1,0,-0.2,
0,10,3,2,0,40,DOWN,-1.0,UP,0.0,0.0,-1.0,1.0,1,0,-0.2,
0,11,4,2,0,39,UP,-1.0,RIGHT,0.0,0.0,-1.0,1.0,1,0,-0.2,
0,12,3,2,0,38,RIGHT,-1.0,UP,0.0,0.0,-1.0,1.0,1,0,-0.2,
0,13,4,2,0,37,UP,-1.0,DOWN,0.0,0.0,-1.0,1.0,1,0,-0.2,
0,14,3,2,0,36,DOWN,-1.0,RIGHT,0.0,0.0,-1.0,1.0,1,0,-0.2,
0,15,4,2,0,35,RIGHT,-1.0,LEFT,0.0,0.0,-1.0,1.0,1,0,-0.2,
0,16,4,3,0,34,LEFT,-1.0,RIGHT,0.0,0.0,-1.0,1.0,1,0,-0.2,
0,17,4,2,0,33,RIGHT,-1.0,UP,0.0,0.0,-1.0,1.0,1,0,-0.2,
0,18,4,3,0,32,UP,-1.0,UP,0.0,0.0,-1.0,1.0,1,0,-0.2,
0,19,4,4,0,31,UP,-5.0,UP,0.0,0.0,-5.0,1.0,1,0,-1.0,
0,20,4,4,0,30,UP,-5.0,RIGHT,0.0,0.0,-5.0,1.0,1,0,-1.0,
0,21,4,4,0,29,RIGHT,-1.0,DOWN,0.0,0.0,-1.0,1.0,1,0,-0.2,
0,22,5,4,0,28,DOWN,-1.0,UP,0.0,0.0,-1.0,1.0,1,0,-0.2,
0,23,6,4,0,27,UP,-1.0,UP,0.0,0.0,-1.0,1.0,1,0,-0.2,
0,24,5,4,0,26,UP,-1.0,DOWN,0.0,0.0,-1.0,1.0,1,0,-0.2,
149999,0,0,0,0,50,RIGHT,-1.0,RIGHT,29.696964,31.031565,0.024285,1.0,1,0,29.701821,
149999,1,0,1,0,49,RIGHT,-1.0,RIGHT,31.031565,35.548706,3.161654,1.0,1,0,31.663896,
149999,2,0,2,0,48,RIGHT,-1.0,DOWN,35.548706,37.287082,0.365506,1.0,1,0,35.621807,
149999,3,0,3,0,47,DOWN,-1.0,RIGHT,37.287082,38.752088,0.077484,1.0,1,0,37.302579,
149999,4,1,3,0,46,RIGHT,-1.0,RIGHT,38.752088,40.757624,0.59796,1.0,1,0,38.87168,
149999,5,1,4,0,45,RIGHT,-1.0,UP,40.757624,43.741561,1.546521,1.0,1,0,41.066928,
149999,6,1,5,0,44,UP,-1.0,RIGHT,43.741561,45.108906,-0.083744,1.0,1,0,43.724812,
149999,7,0,5,0,43,RIGHT,-1.0,DOWN,45.108906,47.49394,0.910094,1.0,1,0,45.290925,
149999,8,0,6,0,42,DOWN,-1.0,UP,47.49394,49.255795,0.269298,1.0,1,0,47.547799,
149999,9,1,6,0,41,UP,-1.0,DOWN,49.255795,51.077165,0.310598,1.0,1,0,49.317915,
149999,10,0,6,0,40,DOWN,-1.0,RIGHT,51.077165,52.093108,-0.504988,1.0,1,0,50.976167,
149999,11,1,6,0,39,RIGHT,-1.0,RIGHT,52.093108,55.48815,1.840161,1.0,1,0,52.46114,
149999,12,1,7,0,38,RIGHT,-1.0,UP,55.48815,57.234991,0.174491,1.0,1,0,55.523048,
149999,13,1,8,0,37,UP,-1.0,RIGHT,57.234991,57.246053,-1.561398,1.0,1,0,56.922711,
149999,14,1,7,0,36,RIGHT,-1.0,RIGHT,57.246053,58.591154,-0.240811,1.0,1,0,57.197891,
149999,15,0,7,0,35,RIGHT,-1.0,UP,58.591154,54.036919,-6.094604,1.0,1,0,57.372233,
149999,16,1,7,0,34,UP,-1.0,RIGHT,54.036919,57.426483,1.8153,1.0,1,0,54.399979,
149999,17,0,7,0,33,RIGHT,-1.0,RIGHT,57.426483,46.381929,-12.508374,1.0,1,0,54.924809,
149999,18,1,7,0,32,RIGHT,-1.0,RIGHT,46.381929,47.715977,-0.143112,1.0,1,0,46.353306,
149999,19,0,7,0,31,RIGHT,-1.0,RIGHT,47.715977,58.051527,8.755035,1.0,1,0,49.466984,
149999,20,0,8,0,30,RIGHT,-1.0,RIGHT,58.051527,58.020075,-1.611653,1.0,1,0,57.729196,
149999,21,0,9,0,29,RIGHT,49.0,RIGHT,58.020075,13.910797,4.751614,1.0,1,0,58.970398,
149999,22,0,10,1,28,RIGHT,-1.0,DOWN,13.910797,18.316776,3.22281,1.0,1,0,14.555359,
149999,23,0,11,1,27,DOWN,-1.0,DOWN,18.316776,22.196155,2.657418,1.0,1,0,18.848259,
149999,24,1,11,1,26,DOWN,-1.0,RIGHT,22.196155,26.397685,2.937553,1.0,1,0,22.783666,
