episode,step,r,c,k,e,action,reward,next_action,q_sa_before,q_next,delta,E_current_pair,num_active_traces,sum_traces,q_sa_after,top3_traces(state|action|E)
0,0,0,0,0,50,LEFT,-5.0,DOWN,0.0,0.0,-5.0,1.0,1,0.8415,-1.0,"(0,0,0,50)|LEFT|0.8415"
0,1,0,0,0,49,DOWN,-1.0,UP,0.0,0.0,-1.0,1.0,2,1.5496,-0.2,"(0,0,0,49)|DOWN|0.8415; (0,0,0,50)|LEFT|0.7081"
0,2,1,0,0,48,UP,-1.0,RIGHT,0.0,0.0,-1.0,1.0,3,2.1455,-0.2,"(1,0,0,48)|UP|0.8415; (0,0,0,49)|DOWN|0.7081; (0,0,0,50)|LEFT|0.5959"
0,3,0,0,0,47,RIGHT,-1.0,UP,0.0,0.0,-1.0,1.0,4,2.6469,-0.2,"(0,0,0,47)|RIGHT|0.8415; (1,0,0,48)|UP|0.7081; (0,0,0,49)|DOWN|0.5959"
0,4,0,1,0,46,UP,-5.0,UP,0.0,0.0,-5.0,1.0,5,3.0689,-1.0,"(0,1,0,46)|UP|0.8415; (0,0,0,47)|RIGHT|0.7081; (1,0,0,48)|UP|0.5959"
0,5,0,1,0,45,UP,-5.0,DOWN,0.0,0.0,-5.0,1.0,6,3.424,-1.0,"(0,1,0,45)|UP|0.8415; (0,1,0,46)|UP|0.7081; (0,0,0,47)|RIGHT|0.5959"
0,6,0,1,0,44,DOWN,-1.0,RIGHT,0.0,0.0,-1.0,1.0,7,3.7228,-0.2,"(0,1,0,44)|DOWN|0.8415; (0,1,0,45)|UP|0.7081; (0,1,0,46)|UP|0.5959"
0,7,1,1,0,43,RIGHT,-1.0,RIGHT,0.0,0.0,-1.0,1.0,8,3.9742,-0.2,"(1,1,0,43)|RIGHT|0.8415; (0,1,0,44)|DOWN|0.7081; (0,1,0,45)|UP|0.5959"
0,8,2,1,0,42,RIGHT,-1.0,DOWN,0.0,0.0,-1.0,1.0,9,4.1858,-0.2,"(2,1,0,42)|RIGHT|0.8415; (1,1,0,43)|RIGHT|0.7081; (0,1,0,44)|DOWN|0.5959"
0,9,2,2,0,41,DOWN,-1.0,DOWN,0.0,0.0,-1.0,1.0,10,4.3639,-0.2,"(2,2,0,41)|DOWN|0.8415; (2,1,0,42)|RIGHT|0.7081; (1,1,0,43)|RIGHT|0.5959"
0,10,3,2,0,40,DOWN,-1.0,UP,0.0,0.0,-1.0,1.0,11,4.5137,-0.2,"(3,2,0,40)|DOWN|0.8415; (2,2,0,41)|DOWN|0.7081; (2,1,0,42)|RIGHT|0.5959"
0,11,4,2,0,39,UP,-1.0,RIGHT,0.0,0.0,-1.0,1.0,12,4.6398,-0.2,"(4,2,0,39)|UP|0.8415; (3,2,0,40)|DOWN|0.7081; (2,2,0,41)|DOWN|0.5959"
0,12,3,2,0,38,RIGHT,-1.0,UP,0.0,0.0,-1.0,1.0,13,4.7459,-0.2,"(3,2,0,38)|RIGHT|0.8415; (4,2,0,39)|UP|0.7081; (3,2,0,40)|DOWN|0.5959"
0,13,4,2,0,37,UP,-1.0,DOWN,0.0,0.0,-1.0,1.0,14,4.8351,-0.2,"(4,2,0,37)|UP|0.8415; (3,2,0,38)|RIGHT|0.7081; (4,2,0,39)|UP|0.5959"
0,14,3,2,0,36,DOWN,-1.0,RIGHT,0.0,0.0,-1.0,1.0,15,4.9103,-0.2,"(3,2,0,36)|DOWN|0.8415; (4,2,0,37)|UP|0.7081; (3,2,0,38)|RIGHT|0.5959"
0,15,4,2,0,35,RIGHT,-1.0,LEFT,0.0,0.0,-1.0,1.0,16,4.9735,-0.2,"(4,2,0,35)|RIGHT|0.8415; (3,2,0,36)|DOWN|0.7081; (4,2,0,37)|UP|0.5959"
0,16,4,3,0,34,LEFT,-1.0,RIGHT,0.0,0.0,-1.0,1.0,17,5.0267,-0.2,"(4,3,0,34)|LEFT|0.8415; (4,2,0,35)|RIGHT|0.7081; (3,2,0,36)|DOWN|0.5959"
0,17,4,2,0,33,RIGHT,-1.0,UP,0.0,0.0,-1.0,1.0,18,5.0715,-0.2,"(4,2,0,33)|RIGHT|0.8415; (4,3,0,34)|LEFT|0.7081; (4,2,0,35)|RIGHT|0.5959"
0,18,4,3,0,32,UP,-1.0,UP,0.0,0.0,-1.0,1.0,19,5.1091,-0.2,"(4,3,0,32)|UP|0.8415; (4,2,0,33)|RIGHT|0.7081; (4,3,0,34)|LEFT|0.5959"
0,19,4,4,0,31,UP,-5.0,UP,0.0,0.0,-5.0,1.0,20,5.1408,-1.0,"(4,4,0,31)|UP|0.8415; (4,3,0,32)|UP|0.7081; (4,2,0,33)|RIGHT|0.5959"
0,20,4,4,0,30,UP,-5.0,RIGHT,0.0,0.0,-5.0,1.0,21,5.1675,-1.0,"(4,4,0,30)|UP|0.8415; (4,4,0,31)|UP|0.7081; (4,3,0,32)|UP|0.5959"
0,21,4,4,0,29,RIGHT,-1.0,DOWN,0.0,0.0,-1.0,1.0,22,5.19,-0.2,"(4,4,0,29)|RIGHT|0.8415; (4,4,0,30)|UP|0.7081; (4,4,0,31)|UP|0.5959"
