episode,step,r,c,k,e,action,reward,nr,nc,nk,ne,done,q_before,max_next_q,td_target,td_error,q_after,alpha,gamma,epsilon
0,41,4,6,0,9,UP,-1.0,3,6,0,8,0,0.0,0.0,-1.0,-1.0,-0.2,0.2,0.99,1.0
0,42,3,6,0,8,LEFT,-1.0,3,5,0,7,0,0.0,0.0,-1.0,-1.0,-0.2,0.2,0.99,1.0
0,43,3,5,0,7,RIGHT,-1.0,3,6,0,6,0,0.0,0.0,-1.0,-1.0,-0.2,0.2,0.99,1.0
0,44,3,6,0,6,UP,-1.0,2,6,0,5,0,0.0,0.0,-1.0,-1.0,-0.2,0.2,0.99,1.0
0,45,2,6,0,5,LEFT,-1.0,1,6,0,4,0,0.0,0.0,-1.0,-1.0,-0.2,0.2,0.99,1.0
0,46,1,6,0,4,UP,-1.0,1,7,0,3,0,0.0,0.0,-1.0,-1.0,-0.2,0.2,0.99,1.0
0,47,1,7,0,3,RIGHT,-1.0,1,8,0,2,0,0.0,0.0,-1.0,-1.0,-0.2,0.2,0.99,1.0
0,48,1,8,0,2,UP,-1.0,0,8,0,1,0,0.0,0.0,-1.0,-1.0,-0.2,0.2,0.99,1.0
0,49,0,8,0,1,LEFT,-21.0,0,7,0,0,1,0.0,0.0,-21.0,-21.0,-4.2,0.2,0.99,1.0
75000,0,0,0,0,50,RIGHT,-1.0,0,1,0,49,0,4.995992,6.926592,5.857326,0.861334,5.168259,0.2,0.99,0.4062
75000,1,0,1,0,49,DOWN,-1.0,1,1,0,48,0,6.926592,8.327653,7.244377,0.317784,6.990149,0.2,0.99,0.4062
75000,2,1,1,0,48,DOWN,-1.0,2,1,0,47,0,8.327653,9.532223,8.436901,0.109247,8.349503,0.2,0.99,0.4062
75000,3,2,1,0,47,UP,-1.0,1,1,0,46,0,9.343178,10.225982,9.123722,-0.219456,9.299287,0.2,0.99,0.4062
75000,4,1,1,0,46,LEFT,-1.0,0,1,0,45,0,10.225982,11.479849,10.36505,0.139069,10.253796,0.2,0.99,0.4062
75000,5,0,1,0,45,DOWN,-1.0,0,0,0,44,0,11.479849,11.783388,10.665554,-0.814295,11.31699,0.2,0.99,0.4062
75000,6,0,0,0,44,DOWN,-1.0,1,0,0,43,0,10.9783,13.221494,12.089279,1.110979,11.200496,0.2,0.99,0.4062
75000,7,1,0,0,43,RIGHT,-1.0,1,1,0,42,0,13.221494,14.520752,13.375544,0.15405,13.252304,0.2,0.99,0.4062
75000,8,1,1,0,42,UP,-1.0,0,1,0,41,0,13.803925,15.286225,14.133363,0.329438,13.869813,0.2,0.99,0.4062
75000,9,0,1,0,41,DOWN,-1.0,1,1,0,40,0,15.286225,16.164017,15.002377,-0.283848,15.229456,0.2,0.99,0.4062
75000,10,1,1,0,40,DOWN,-1.0,2,1,0,39,0,16.164017,17.859564,16.680968,0.516951,16.267408,0.2,0.99,0.4062
75000,11,2,1,0,39,RIGHT,-1.0,2,2,0,38,0,17.859564,19.553665,18.358128,0.498564,17.959277,0.2,0.99,0.4062
75000,12,2,2,0,38,RIGHT,-1.0,3,2,0,37,0,19.553665,20.926406,19.717142,0.163477,19.58636,0.2,0.99,0.4062
75000,13,3,2,0,37,UP,-1.0,3,1,0,36,0,20.926406,19.012915,17.822786,-3.10362,20.305682,0.2,0.99,0.4062
75000,14,3,1,0,36,RIGHT,-5.0,3,1,0,35,0,19.012915,18.604184,13.418142,-5.594774,17.893961,0.2,0.99,0.4062
75000,15,3,1,0,35,UP,-1.0,3,2,0,34,0,17.698256,20.433719,19.229382,1.531127,18.004481,0.2,0.99,0.4062
75000,16,3,2,0,34,UP,-1.0,2,2,0,33,0,20.433719,23.032834,21.802505,1.368786,20.707477,0.2,0.99,0.4062
75000,17,2,2,0,33,RIGHT,-1.0,2,3,0,32,0,23.032834,24.671088,23.424377,0.391543,23.111142,0.2,0.99,0.4062
75000,18,2,3,0,32,UP,-1.0,1,3,0,31,0,24.671088,28.265141,26.982489,2.311401,25.133368,0.2,0.99,0.4062
75000,19,1,3,0,31,RIGHT,-1.0,1,4,0,30,0,28.265141,30.278464,28.975679,0.710538,28.407248,0.2,0.99,0.4062
75000,20,1,4,0,30,UP,-1.0,1,3,0,29,0,25.161036,24.634979,23.388629,-1.772407,24.806555,0.2,0.99,0.4062
75000,21,1,3,0,29,RIGHT,-1.0,0,3,0,28,0,24.634979,22.365947,21.142288,-3.492691,23.936441,0.2,0.99,0.4062
75000,22,0,3,0,28,DOWN,-1.0,1,3,0,27,0,22.365947,24.401634,23.157618,0.791671,22.524281,0.2,0.99,0.4062
75000,23,1,3,0,27,RIGHT,-1.0,1,4,0,26,0,24.401634,28.281447,26.998632,2.596998,24.921034,0.2,0.99,0.4062
75000,24,1,4,0,26,RIGHT,-1.0,1,5,0,25,0,28.281447,30.408835,29.104746,0.823299,28.446107,0.2,0.99,0.4062
75000,25,1,5,0,25,RIGHT,-1.0,1,6,0,24,0,30.408835,32.047237,30.726765,0.31793,30.472421,0.2,0.99,0.4062
75000,26,1,6,0,24,RIGHT,-1.0,1,7,0,23,0,32.047237,33.934165,32.594824,0.547586,32.156755,0.2,0.99,0.4062
75000,27,1,7,0,23,RIGHT,-1.0,1,8,0,22,0,33.934165,35.496826,34.141858,0.207693,33.975704,0.2,0.99,0.4062
75000,28,1,8,0,22,RIGHT,-1.0,1,9,0,21,0,35.496826,37.864519,36.485874,0.989048,35.694636,0.2,0.99,0.4062
75000,29,1,9,0,21,DOWN,-1.0,2,9,0,20,0,34.016116,34.424285,33.080042,-0.936074,33.828902,0.2,0.99,0.4062
75000,30,2,9,0,20,UP,-1.0,1,9,0,19,0,34.424285,37.244559,35.872114,1.447828,34.713851,0.2,0.99,0.4062
75000,31,1,9,0,19,UP,-1.0,0,9,0,18,0,37.244559,38.590449,37.204545,-0.040014,37.236556,0.2,0.99,0.4062
75000,32,0,9,0,18,RIGHT,49.0,0,10,1,17,0,38.590449,-9.797841,39.300137,0.709688,38.732387,0.2,0.99,0.4062
75000,33,0,10,1,17,LEFT,-1.0,0,9,1,16,0,-10.319199,-9.219091,-10.1269,0.192299,-10.280739,0.2,0.99,0.4062
75000,34,0,9,1,16,DOWN,-1.0,0,10,1,15,0,-9.219091,-12.403332,-13.279298,-4.060208,-10.031132,0.2,0.99,0.4062
75000,35,0,10,1,15,DOWN,-1.0,1,10,1,14,0,-12.403332,-11.632955,-12.516626,-0.113294,-12.425991,0.2,0.99,0.4062
75000,36,1,10,1,14,DOWN,-1.0,2,10,1,13,0,-11.632955,-10.165888,-11.064229,0.568726,-11.51921,0.2,0.99,0.4062
75000,37,2,10,1,13,DOWN,-1.0,3,10,1,12,0,-10.165888,-8.513915,-9.428776,0.737112,-10.018466,0.2,0.99,0.4062
75000,38,3,10,1,12,DOWN,-1.0,4,10,1,11,0,-8.513915,-6.263568,-7.200933,1.312983,-8.251319,0.2,0.99,0.4062
75000,39,4,10,1,11,RIGHT,-1.0,4,11,1,10,0,-6.263568,-5.41859,-6.364404,-0.100836,-6.283736,0.2,0.99,0.4062
75000,40,4,11,1,10,RIGHT,-1.0,4,12,1,9,0,-5.632084,-3.56024,-4.524638,1.107446,-5.410594,0.2,0.99,0.4062
75000,41,4,12,1,9,DOWN,-1.0,5,12,1,8,0,-3.56024,-3.69051,-4.653605,-1.093364,-3.778913,0.2,0.99,0.4062
75000,42,5,12,1,8,LEFT,-1.0,5,11,1,7,0,-4.815679,-7.924717,-8.84547,-4.02979,-5.621637,0.2,0.99,0.4062
