episode,epsilon,total_reward,steps,success,wall_hits,penalty_entries,key_obtained,energy_left,end_event
94,0.05,-40.0,50,0,5,0,1,0,ENERGY_DEPLETED
95,0.05,-44.0,50,0,6,0,1,0,ENERGY_DEPLETED
96,0.05,106.0,44,1,0,0,1,6,GOAL_REACHED
97,0.05,-36.0,50,0,4,0,1,0,ENERGY_DEPLETED
98,0.05,78.0,48,1,6,0,1,2,GOAL_REACHED
99,0.05,88.0,46,1,4,0,1,4,GOAL_REACHED
100,0.05,-24.0,50,0,1,0,1,0,ENERGY_DEPLETED
101,0.05,80.0,46,1,6,0,1,4,GOAL_REACHED
102,0.05,88.0,46,1,4,0,1,4,GOAL_REACHED
103,0.05,-36.0,50,0,4,0,1,0,ENERGY_DEPLETED
104,0.05,-24.0,50,0,1,0,1,0,ENERGY_DEPLETED
105,0.05,99.0,47,1,1,0,1,3,GOAL_REACHED
106,0.05,-40.0,50,0,5,0,1,0,ENERGY_DEPLETED
107,0.05,88.0,46,1,4,0,1,4,GOAL_REACHED
108,0.05,-24.0,50,0,1,0,1,0,ENERGY_DEPLETED
109,0.05,96.0,46,1,2,0,1,4,GOAL_REACHED
110,0.05,-32.0,50,0,2,0,1,0,ENERGY_DEPLETED
111,0.05,-45.0,50,0,4,1,1,0,ENERGY_DEPLETED
112,0.05,96.0,46,1,2,0,1,4,GOAL_REACHED
113,0.05,-36.0,50,0,4,0,1,0,ENERGY_DEPLETED
114,0.05,98.0,44,1,2,0,1,6,GOAL_REACHED
115,0.05,-32.0,50,0,3,0,1,0,ENERGY_DEPLETED
116,0.05,98.0,44,1,2,0,1,6,GOAL_REACHED
117,0.05,77.0,48,1,4,1,1,2,GOAL_REACHED
118,0.05,75.0,50,1,4,1,1,0,GOAL_REACHED
119,0.05,-52.0,50,0,7,0,1,0,ENERGY_DEPLETED
120,0.05,-40.0,50,0,5,0,1,0,ENERGY_DEPLETED
121,0.05,-32.0,50,0,3,0,1,0,ENERGY_DEPLETED
122,0.05,88.0,46,1,4,0,1,4,GOAL_REACHED
123,0.05,84.0,50,1,4,0,1,0,GOAL_REACHED
124,0.05,-28.0,50,0,2,0,1,0,ENERGY_DEPLETED
125,0.05,96.0,46,1,2,0,1,4,GOAL_REACHED
126,0.05,-33.0,50,0,1,1,1,0,ENERGY_DEPLETED
127,0.05,98.0,44,1,2,0,1,6,GOAL_REACHED
128,0.05,84.0,50,1,4,0,1,0,GOAL_REACHED
129,0.05,80.0,46,1,6,0,1,4,GOAL_REACHED
130,0.05,80.0,46,1,6,0,1,4,GOAL_REACHED
131,0.05,95.0,46,1,0,1,1,4,GOAL_REACHED
132,0.05,89.0,49,1,3,0,1,1,GOAL_REACHED
133,0.05,-40.0,50,0,5,0,1,0,ENERGY_DEPLETED
134,0.05,-32.0,50,0,3,0,1,0,ENERGY_DEPLETED
135,0.05,-36.0,50,0,4,0,1,0,ENERGY_DEPLETED
136,0.05,91.0,47,1,3,0,1,3,GOAL_REACHED
137,0.05,104.0,46,1,0,0,1,4,GOAL_REACHED
138,0.05,86.0,48,1,4,0,1,2,GOAL_REACHED
139,0.05,-32.0,50,0,3,0,1,0,ENERGY_DEPLETED
140,0.05,96.0,46,1,2,0,1,4,GOAL_REACHED
141,0.05,96.0,46,1,2,0,1,4,GOAL_REACHED
142,0.05,-36.0,50,0,4,0,1,0,ENERGY_DEPLETED
143,0.05,-56.0,50,0,8,0,1,0,ENERGY_DEPLETED
144,0.05,-28.0,50,0,2,0,1,0,ENERGY_DEPLETED
145,0.05,86.0,48,1,4,0,1,2,GOAL_REACHED
146,0.05,-60.0,50,0,10,0,1,0,ENERGY_DEPLETED
147,0.05,-28.0,50,0,2,0,1,0,ENERGY_DEPLETED
148,0.05,98.0,44,1,2,0,1,6,GOAL_REACHED
149,0.05,80.0,46,1,6,0,1,4,GOAL_REACHED
150,0.05,88.0,46,1,4,0,1,4,GOAL_REACHED
151,0.05,-32.0,50,0,3,0,1,0,ENERGY_DEPLETED
152,0.05,94.0,48,1,2,0,1,2,GOAL_REACHED
153,0.05,90.0,44,1,4,0,1,6,GOAL_REACHED
154,0.05,102.0,48,1,0,0,1,2,GOAL_REACHED
155,0.05,89.0,44,1,2,1,1,6,GOAL_REACHED
156,0.05,-37.0,50,0,2,1,1,0,ENERGY_DEPLETED
157,0.05,-28.0,50,0,2,0,1,0,ENERGY_DEPLETED
158,0.05,-45.0,50,0,4,1,1,0,ENERGY_DEPLETED
159,0.05,94.0,48,1,2,0,1,2,GOAL_REACHED
160,0.05,-32.0,50,0,3,0,1,0,ENERGY_DEPLETED
161,0.05,-28.0,50,0,2,0,1,0,ENERGY_DEPLETED
162,0.05,75.0,48,1,0,3,1,2,GOAL_REACHED
163,0.05,91.0,47,1,3,0,1,3,GOAL_REACHED
164,0.05,-24.0,50,0,1,0,1,0,ENERGY_DEPLETED
165,0.05,94.0,48,1,2,0,1,2,GOAL_REACHED
166,0.05,-40.0,50,0,5,0,1,0,ENERGY_DEPLETED
167,0.05,-40.0,50,0,5,0,1,0,ENERGY_DEPLETED
168,0.05,-60.0,50,0,10,0,1,0,ENERGY_DEPLETED
169,0.05,-49.0,50,0,4,1,1,0,ENERGY_DEPLETED
170,0.05,83.0,47,1,5,0,1,3,GOAL_REACHED
171,0.05,96.0,46,1,2,0,1,4,GOAL_REACHED
172,0.05,96.0,46,1,2,0,1,4,GOAL_REACHED
173,0.05,87.0,46,1,2,1,1,4,GOAL_REACHED
174,0.05,88.0,46,1,4,0,1,4,GOAL_REACHED
175,0.05,80.0,46,1,6,0,1,4,GOAL_REACHED
176,0.05,-40.0,50,0,5,0,1,0,ENERGY_DEPLETED
177,0.05,96.0,46,1,2,0,1,4,GOAL_REACHED
178,0.05,91.0,47,1,3,0,1,3,GOAL_REACHED
179,0.05,96.0,46,1,2,0,1,4,GOAL_REACHED
180,0.05,-28.0,50,0,2,0,1,0,ENERGY_DEPLETED
181,0.05,88.0,46,1,4,0,1,4,GOAL_REACHED
182,0.05,106.0,44,1,0,0,1,6,GOAL_REACHED
183,0.05,-48.0,50,0,7,0,1,0,ENERGY_DEPLETED
184,0.05,88.0,46,1,4,0,1,4,GOAL_REACHED
185,0.05,91.0,50,1,0,1,1,0,GOAL_REACHED
186,0.05,86.0,48,1,4,0,1,2,GOAL_REACHED
187,0.05,88.0,46,1,4,0,1,4,GOAL_REACHED
