episode,step,r,c,k,e,action,reward,next_action,q_sa_before,q_next,delta,E_current_pair,num_active_traces,sum_traces,q_sa_after,top3_traces(state|action|E)
0,0,0,0,0,50,LEFT,-5.0,DOWN,0.0,0.0,-5.0,1.0,1,0.792,-1.0,"(0,0,0,50)|LEFT|0.7920"
0,1,0,0,0,49,DOWN,-1.0,UP,0.0,0.0,-1.0,1.0,2,1.4193,-0.2,"(0,0,0,49)|DOWN|0.7920; (0,0,0,50)|LEFT|0.6273"
0,2,1,0,0,48,UP,-1.0,RIGHT,0.0,0.0,-1.0,1.0,3,1.9161,-0.2,"(1,0,0,48)|UP|0.7920; (0,0,0,49)|DOWN|0.6273; (0,0,0,50)|LEFT|0.4968"
0,3,0,0,0,47,RIGHT,-1.0,UP,0.0,0.0,-1.0,1.0,4,2.3095,-0.2,"(0,0,0,47)|RIGHT|0.7920; (1,0,0,48)|UP|0.6273; (0,0,0,49)|DOWN|0.4968"
0,4,0,1,0,46,UP,-5.0,UP,0.0,0.0,-5.0,1.0,5,2.6211,-1.0,"(0,1,0,46)|UP|0.7920; (0,0,0,47)|RIGHT|0.6273; (1,0,0,48)|UP|0.4968"
0,5,0,1,0,45,UP,-5.0,DOWN,0.0,0.0,-5.0,1.0,6,2.8679,-1.0,"(0,1,0,45)|UP|0.7920; (0,1,0,46)|UP|0.6273; (0,0,0,47)|RIGHT|0.4968"
0,6,0,1,0,44,DOWN,-1.0,RIGHT,0.0,0.0,-1.0,1.0,7,3.0634,-0.2,"(0,1,0,44)|DOWN|0.7920; (0,1,0,45)|UP|0.6273; (0,1,0,46)|UP|0.4968"
0,7,1,1,0,43,RIGHT,-1.0,RIGHT,0.0,0.0,-1.0,1.0,8,3.2182,-0.2,"(1,1,0,43)|RIGHT|0.7920; (0,1,0,44)|DOWN|0.6273; (0,1,0,45)|UP|0.4968"
0,8,2,1,0,42,RIGHT,-1.0,DOWN,0.0,0.0,-1.0,1.0,9,3.3408,-0.2,"(2,1,0,42)|RIGHT|0.7920; (1,1,0,43)|RIGHT|0.6273; (0,1,0,44)|DOWN|0.4968"
0,9,2,2,0,41,DOWN,-1.0,DOWN,0.0,0.0,-1.0,1.0,10,3.4379,-0.2,"(2,2,0,41)|DOWN|0.7920; (2,1,0,42)|RIGHT|0.6273; (1,1,0,43)|RIGHT|0.4968"
0,10,3,2,0,40,DOWN,-1.0,UP,0.0,0.0,-1.0,1.0,11,3.5148,-0.2,"(3,2,0,40)|DOWN|0.7920; (2,2,0,41)|DOWN|0.6273; (2,1,0,42)|RIGHT|0.4968"
0,11,4,2,0,39,UP,-1.0,RIGHT,0.0,0.0,-1.0,1.0,12,3.5758,-0.2,"(4,2,0,39)|UP|0.7920; (3,2,0,40)|DOWN|0.6273; (2,2,0,41)|DOWN|0.4968"
0,12,3,2,0,38,RIGHT,-1.0,UP,0.0,0.0,-1.0,1.0,13,3.624,-0.2,"(3,2,0,38)|RIGHT|0.7920; (4,2,0,39)|UP|0.6273; (3,2,0,40)|DOWN|0.4968"
0,13,4,2,0,37,UP,-1.0,DOWN,0.0,0.0,-1.0,1.0,14,3.6622,-0.2,"(4,2,0,37)|UP|0.7920; (3,2,0,38)|RIGHT|0.6273; (4,2,0,39)|UP|0.4968"
0,14,3,2,0,36,DOWN,-1.0,RIGHT,0.0,0.0,-1.0,1.0,15,3.6925,-0.2,"(3,2,0,36)|DOWN|0.7920; (4,2,0,37)|UP|0.6273; (3,2,0,38)|RIGHT|0.4968"
0,15,4,2,0,35,RIGHT,-1.0,LEFT,0.0,0.0,-1.0,1.0,16,3.7164,-0.2,"(4,2,0,35)|RIGHT|0.7920; (3,2,0,36)|DOWN|0.6273; (4,2,0,37)|UP|0.4968"
0,16,4,3,0,34,LEFT,-1.0,RIGHT,0.0,0.0,-1.0,1.0,17,3.7354,-0.2,"(4,3,0,34)|LEFT|0.7920; (4,2,0,35)|RIGHT|0.6273; (3,2,0,36)|DOWN|0.4968"
0,17,4,2,0,33,RIGHT,-1.0,UP,0.0,0.0,-1.0,1.0,18,3.7505,-0.2,"(4,2,0,33)|RIGHT|0.7920; (4,3,0,34)|LEFT|0.6273; (4,2,0,35)|RIGHT|0.4968"
0,18,4,3,0,32,UP,-1.0,UP,0.0,0.0,-1.0,1.0,19,3.7624,-0.2,"(4,3,0,32)|UP|0.7920; (4,2,0,33)|RIGHT|0.6273; (4,3,0,34)|LEFT|0.4968"
0,19,4,4,0,31,UP,-5.0,UP,0.0,0.0,-5.0,1.0,20,3.7718,-1.0,"(4,4,0,31)|UP|0.7920; (4,3,0,32)|UP|0.6273; (4,2,0,33)|RIGHT|0.4968"
0,20,4,4,0,30,UP,-5.0,RIGHT,0.0,0.0,-5.0,1.0,21,3.7793,-1.0,"(4,4,0,30)|UP|0.7920; (4,4,0,31)|UP|0.6273; (4,3,0,32)|UP|0.4968"
0,21,4,4,0,29,RIGHT,-1.0,DOWN,0.0,0.0,-1.0,1.0,22,3.7852,-0.2,"(4,4,0,29)|RIGHT|0.7920; (4,4,0,30)|UP|0.6273; (4,4,0,31)|UP|0.4968"
0,22,5,4,0,28,DOWN,-1.0,UP,0.0,0.0,-1.0,1.0,23,3.7899,-0.2,"(5,4,0,28)|DOWN|0.7920; (4,4,0,29)|RIGHT|0.6273; (4,4,0,30)|UP|0.4968"
0,23,6,4,0,27,UP,-1.0,UP,0.0,0.0,-1.0,1.0,24,3.7936,-0.2,"(6,4,0,27)|UP|0.7920; (5,4,0,28)|DOWN|0.6273; (4,4,0,29)|RIGHT|0.4968"
0,24,5,4,0,26,UP,-1.0,DOWN,0.0,0.0,-1.0,1.0,25,3.7965,-0.2,"(5,4,0,26)|UP|0.7920; (6,4,0,27)|UP|0.6273; (5,4,0,28)|DOWN|0.4968"
149999,0,0,0,0,50,DOWN,-1.0,DOWN,4.835995,6.65584,0.753287,1.0,1,0.792,4.986652,"(0,0,0,50)|DOWN|0.7920"
149999,1,1,0,0,49,DOWN,-1.0,RIGHT,6.65584,10.303265,2.544392,1.0,2,1.4193,7.164719,"(1,0,0,49)|DOWN|0.7920; (0,0,0,50)|DOWN|0.6273"
149999,2,2,0,0,48,RIGHT,-1.0,LEFT,10.303265,10.349063,-1.057692,1.0,3,1.9161,10.091726,"(2,0,0,48)|RIGHT|0.7920; (1,0,0,49)|DOWN|0.6273; (0,0,0,50)|DOWN|0.4968"
149999,3,2,1,0,47,LEFT,-1.0,RIGHT,10.349063,14.913424,3.415227,1.0,4,2.3095,11.032108,"(2,1,0,47)|LEFT|0.7920; (2,0,0,48)|RIGHT|0.6273; (1,0,0,49)|DOWN|0.4968"
149999,4,2,0,0,46,RIGHT,-1.0,RIGHT,14.913424,17.788495,1.697185,1.0,5,2.6211,15.252862,"(2,0,0,46)|RIGHT|0.7920; (2,1,0,47)|LEFT|0.6273; (2,0,0,48)|RIGHT|0.4968"
149999,5,2,1,0,45,RIGHT,-1.0,RIGHT,17.788495,19.342345,0.360427,1.0,6,2.8679,17.86058,"(2,1,0,45)|RIGHT|0.7920; (2,0,0,46)|RIGHT|0.6273; (2,1,0,47)|LEFT|0.4968"
149999,6,2,2,0,44,RIGHT,-1.0,DOWN,19.342345,15.814293,-4.686195,1.0,7,3.0634,18.405106,"(2,2,0,44)|RIGHT|0.7920; (2,1,0,45)|RIGHT|0.6273; (2,0,0,46)|RIGHT|0.4968"
149999,7,2,3,0,43,DOWN,-1.0,UP,15.814293,19.123522,2.117993,1.0,8,3.2182,16.237892,"(2,3,0,43)|DOWN|0.7920; (2,2,0,44)|RIGHT|0.6273; (2,1,0,45)|RIGHT|0.4968"
